xai_id,condition,architecture,seed,n_samples,accuracy_on_xai_sample,gcam_lrr_plus_mean,guided_gcam_lrr_plus_mean,gcam_pointing_inside_lung_mean,guided_gcam_pointing_inside_lung_mean,gcam_deletion_auc_mean,guided_gcam_deletion_auc_mean,gcam_insertion_auc_mean,guided_gcam_insertion_auc_mean,gcam_head_randomization_corr_mean,guided_gcam_head_randomization_corr_mean,runtime_seconds
E01_XAI_D_C0_DenseNet121,D-C0,DenseNet121,3407,128,0.859375,0.37289096323612725,0.36219019281233844,0.359375,0.2109375,0.7119001080118923,0.7050834486375332,0.8426299732847359,0.8511396065888361,0.13455540352880951,0.42040802636040936,180.7648549079895
E01_XAI_D_C0_DenseNet121,D-C0,DenseNet121,42,128,0.8125,0.3737650596403247,0.3353491762130074,0.4140625,0.1796875,0.7214026648547076,0.7295604100983695,0.8729794724327016,0.8772864264540488,0.21678273563480904,0.44657518560824583,177.67542815208435
E01_XAI_D_C0_DenseNet121,D-C0,DenseNet121,2024,128,0.8359375,0.39259970257069876,0.38720114132469297,0.4375,0.25,0.7373356127443019,0.7317947008891572,0.8720206303143385,0.8930845029946639,0.18097627584341033,0.4312954838053198,177.0451626777649
