run_id,condition,architecture,seed,metric,point,ci_low,ci_high,bootstrap_n,ci_level
B04_D_P_seed3407,D-P,DenseNet121,3407,brier,0.13180210424411015,0.11549479775375147,0.14811452668674555,5000,0.95
B04_D_P_seed3407,D-P,DenseNet121,3407,ece,0.17333602905273432,0.15763620780064508,0.18886178701351844,5000,0.95
B05_D_P_seed42,D-P,DenseNet121,42,auroc,0.9703210607056763,0.9569580046022353,0.9823967236467236,5000,0.95
B05_D_P_seed42,D-P,DenseNet121,42,auprc,0.9790179025018781,0.967570680467207,0.9887129446618886,5000,0.95
B05_D_P_seed42,D-P,DenseNet121,42,accuracy,0.8621794871794872,0.8381410256410257,0.8862179487179487,5000,0.95
B05_D_P_seed42,D-P,DenseNet121,42,balanced_accuracy,0.8179487179487179,0.7871794871794872,0.8500000000000001,5000,0.95
B05_D_P_seed42,D-P,DenseNet121,42,sensitivity,0.9948717948717949,0.9871794871794872,1.0,5000,0.95
B05_D_P_seed42,D-P,DenseNet121,42,specificity,0.6410256410256411,0.5811965811965812,0.7051282051282052,5000,0.95
B05_D_P_seed42,D-P,DenseNet121,42,precision,0.8220338983050848,0.797938144329897,0.8480259718255312,5000,0.95
B05_D_P_seed42,D-P,DenseNet121,42,npv,0.9868421052631579,0.9668874172185431,1.0,5000,0.95
B05_D_P_seed42,D-P,DenseNet121,42,f1,0.9002320185614849,0.8848346636259977,0.9163722025912838,5000,0.95
B05_D_P_seed42,D-P,DenseNet121,42,brier,0.11260859485054635,0.09518074800978645,0.1301982467456297,5000,0.95
B05_D_P_seed42,D-P,DenseNet121,42,ece,0.14221949455065605,0.1250154033685342,0.16027248379511716,5000,0.95
B06_D_P_seed2024,D-P,DenseNet121,2024,auroc,0.980802103879027,0.97112097304405,0.98906503396888,5000,0.95
B06_D_P_seed2024,D-P,DenseNet121,2024,auprc,0.9882473269982264,0.9817743694346216,0.9935125946917301,5000,0.95
B06_D_P_seed2024,D-P,DenseNet121,2024,accuracy,0.8317307692307693,0.8076923076923077,0.8557692307692307,5000,0.95
B06_D_P_seed2024,D-P,DenseNet121,2024,balanced_accuracy,0.7764957264957265,0.7452991452991453,0.8076923076923077,5000,0.95
B06_D_P_seed2024,D-P,DenseNet121,2024,sensitivity,0.9974358974358974,0.9923076923076923,1.0,5000,0.95
B06_D_P_seed2024,D-P,DenseNet121,2024,specificity,0.5555555555555556,0.49145299145299143,0.6196581196581197,5000,0.95
B06_D_P_seed2024,D-P,DenseNet121,2024,precision,0.7890466531440162,0.7662082514734774,0.8130350096013247,5000,0.95
B06_D_P_seed2024,D-P,DenseNet121,2024,npv,0.9923664122137404,0.9752066115702479,1.0,5000,0.95
B06_D_P_seed2024,D-P,DenseNet121,2024,f1,0.8810872027180068,0.8664403875428375,0.8960798895286342,5000,0.95
B06_D_P_seed2024,D-P,DenseNet121,2024,brier,0.13308554378977533,0.11657813937066827,0.15029354287438335,5000,0.95
B06_D_P_seed2024,D-P,DenseNet121,2024,ece,0.17239694411938,0.15603460272153222,0.18912644034776924,5000,0.95
B07_R_C0_seed3407,R-C0,ResNet50,3407,auroc,0.9719154065307911,0.9597083881218497,0.9823198827525751,5000,0.95
B07_R_C0_seed3407,R-C0,ResNet50,3407,auprc,0.9811733710561493,0.9717250105869347,0.988630799850665,5000,0.95
B07_R_C0_seed3407,R-C0,ResNet50,3407,accuracy,0.8717948717948718,0.8477564102564102,0.8926282051282052,5000,0.95
B07_R_C0_seed3407,R-C0,ResNet50,3407,balanced_accuracy,0.8307692307692307,0.7995726495726496,0.8594017094017095,5000,0.95
B07_R_C0_seed3407,R-C0,ResNet50,3407,sensitivity,0.9948717948717949,0.9871794871794872,1.0,5000,0.95
B07_R_C0_seed3407,R-C0,ResNet50,3407,specificity,0.6666666666666666,0.6025641025641025,0.7222222222222222,5000,0.95
B07_R_C0_seed3407,R-C0,ResNet50,3407,precision,0.8326180257510729,0.8074452778103312,0.8568281938325991,5000,0.95
B07_R_C0_seed3407,R-C0,ResNet50,3407,npv,0.9873417721518988,0.9679435483870968,1.0,5000,0.95
B07_R_C0_seed3407,R-C0,ResNet50,3407,f1,0.9065420560747663,0.8911798396334479,0.9208972845336482,5000,0.95
B07_R_C0_seed3407,R-C0,ResNet50,3407,brier,0.13476460837232596,0.11933881338604689,0.151219578479441,5000,0.95
B07_R_C0_seed3407,R-C0,ResNet50,3407,ece,0.17936746890728292,0.16378402282030155,0.19492835295506009,5000,0.95
B08_R_C0_seed42,R-C0,ResNet50,42,auroc,0.9683048433048433,0.9544730714442252,0.9797124972605742,5000,0.95
B08_R_C0_seed42,R-C0,ResNet50,42,auprc,0.9788670924537071,0.9670590778618791,0.9876910812781026,5000,0.95
B08_R_C0_seed42,R-C0,ResNet50,42,accuracy,0.7900641025641025,0.7660256410256411,0.8141025641025641,5000,0.95
B08_R_C0_seed42,R-C0,ResNet50,42,balanced_accuracy,0.7209401709401709,0.6897435897435897,0.753429487179487,5000,0.95
B08_R_C0_seed42,R-C0,ResNet50,42,sensitivity,0.9974358974358974,0.9923076923076923,1.0,5000,0.95
B08_R_C0_seed42,R-C0,ResNet50,42,specificity,0.4444444444444444,0.3803418803418803,0.5085470085470085,5000,0.95
B08_R_C0_seed42,R-C0,ResNet50,42,precision,0.7495183044315993,0.7289719626168224,0.7722772277227723,5000,0.95
B08_R_C0_seed42,R-C0,ResNet50,42,npv,0.9904761904761905,0.9690641108247423,1.0,5000,0.95
B08_R_C0_seed42,R-C0,ResNet50,42,f1,0.8558855885588559,0.841991341991342,0.8705357142857143,5000,0.95
B08_R_C0_seed42,R-C0,ResNet50,42,brier,0.14053836868800154,0.1254197901740647,0.15666357337503517,5000,0.95
B08_R_C0_seed42,R-C0,ResNet50,42,ece,0.18483864955413037,0.1708597947389652,0.20003976852465896,5000,0.95
B09_R_C0_seed2024,R-C0,ResNet50,2024,auroc,0.9694937541091386,0.9552810650887574,0.9808689458689458,5000,0.95
B09_R_C0_seed2024,R-C0,ResNet50,2024,auprc,0.9765619329124534,0.9584777530963335,0.9884088083573835,5000,0.95
B09_R_C0_seed2024,R-C0,ResNet50,2024,accuracy,0.8461538461538461,0.8221153846153846,0.8701923076923077,5000,0.95
B09_R_C0_seed2024,R-C0,ResNet50,2024,balanced_accuracy,0.7965811965811966,0.7645299145299145,0.8277777777777777,5000,0.95
B09_R_C0_seed2024,R-C0,ResNet50,2024,sensitivity,0.9948717948717949,0.9871794871794872,1.0,5000,0.95
B09_R_C0_seed2024,R-C0,ResNet50,2024,specificity,0.5982905982905983,0.5341880341880342,0.6623931623931624,5000,0.95
B09_R_C0_seed2024,R-C0,ResNet50,2024,precision,0.8049792531120332,0.7806841046277666,0.8304721030042919,5000,0.95
B09_R_C0_seed2024,R-C0,ResNet50,2024,npv,0.9859154929577465,0.9642857142857143,1.0,5000,0.95
B09_R_C0_seed2024,R-C0,ResNet50,2024,f1,0.8899082568807339,0.874859075535513,0.9054842473745625,5000,0.95
B09_R_C0_seed2024,R-C0,ResNet50,2024,brier,0.1445250656996415,0.12888676093495563,0.16048682084928004,5000,0.95
B09_R_C0_seed2024,R-C0,ResNet50,2024,ece,0.1898091389582707,0.17443108772620178,0.20464579600554242,5000,0.95
B10_R_P_seed3407,R-P,ResNet50,3407,auroc,0.9760628972167434,0.9635049583607276,0.9860898805610344,5000,0.95
B10_R_P_seed3407,R-P,ResNet50,3407,auprc,0.9821159663091178,0.968225982765457,0.9913883281255047,5000,0.95
B10_R_P_seed3407,R-P,ResNet50,3407,accuracy,0.8701923076923077,0.8477564102564102,0.8926282051282052,5000,0.95
B10_R_P_seed3407,R-P,ResNet50,3407,balanced_accuracy,0.8277777777777777,0.7970085470085471,0.8576923076923078,5000,0.95
B10_R_P_seed3407,R-P,ResNet50,3407,sensitivity,0.9974358974358974,0.9923076923076923,1.0,5000,0.95
B10_R_P_seed3407,R-P,ResNet50,3407,specificity,0.6581196581196581,0.5982905982905983,0.717948717948718,5000,0.95
B10_R_P_seed3407,R-P,ResNet50,3407,precision,0.8294243070362474,0.8049792531120332,0.8549450549450549,5000,0.95
B10_R_P_seed3407,R-P,ResNet50,3407,npv,0.9935483870967742,0.9797297297297297,1.0,5000,0.95
B10_R_P_seed3407,R-P,ResNet50,3407,f1,0.9057043073341094,0.8906789413118527,0.9207100591715977,5000,0.95
B10_R_P_seed3407,R-P,ResNet50,3407,brier,0.12410655886719141,0.10877461279224708,0.14051395638293449,5000,0.95
B10_R_P_seed3407,R-P,ResNet50,3407,ece,0.16874085939847505,0.15321858846224276,0.1850397140551836,5000,0.95
B11_R_P_seed42,R-P,ResNet50,42,auroc,0.9700799912338375,0.9567051555993864,0.9816295474468552,5000,0.95
B11_R_P_seed42,R-P,ResNet50,42,auprc,0.9783048506388748,0.9641830199447416,0.988420563069805,5000,0.95
B11_R_P_seed42,R-P,ResNet50,42,accuracy,0.8028846153846154,0.7788461538461539,0.8269230769230769,5000,0.95
B11_R_P_seed42,R-P,ResNet50,42,balanced_accuracy,0.7380341880341881,0.7051282051282051,0.77008547008547,5000,0.95
B11_R_P_seed42,R-P,ResNet50,42,sensitivity,0.9974358974358974,0.9923076923076923,1.0,5000,0.95
B11_R_P_seed42,R-P,ResNet50,42,specificity,0.47863247863247865,0.41452991452991456,0.5427350427350427,5000,0.95
B11_R_P_seed42,R-P,ResNet50,42,precision,0.761252446183953,0.7386363636363636,0.7842741935483871,5000,0.95
B11_R_P_seed42,R-P,ResNet50,42,npv,0.9911504424778761,0.9719626168224299,1.0,5000,0.95
