architecture,AUROC delta,AUROC supports 95CI,AUPRC delta,AUPRC supports 95CI,Accuracy delta,Accuracy supports 95CI,Balanced accuracy delta,Balanced accuracy supports 95CI,Sensitivity delta,Sensitivity supports 95CI,Specificity delta,Specificity supports 95CI,Precision delta,Precision supports 95CI,NPV delta,NPV supports 95CI,F1 delta,F1 supports 95CI,Brier score delta,Brier score supports 95CI,ECE delta,ECE supports 95CI
DenseNet121,"+0.0069 [0.0034, 0.0108]",True,"+0.0057 [0.0026, 0.0092]",True,"+0.0101 [0.0016, 0.0192]",True,"+0.0130 [0.0014, 0.0246]",True,"+0.0017 [0.0000, 0.0043]",False,"+0.0242 [0.0014, 0.0470]",True,"+0.0097 [0.0009, 0.0188]",True,"+0.0051 [0.0001, 0.0121]",True,"+0.0066 [0.0011, 0.0124]",True,"-0.0128 [-0.0166, -0.0089]",True,"-0.0153 [-0.0190, -0.0113]",True
ResNet50,"+0.0032 [-0.0003, 0.0066]",False,"+0.0014 [-0.0026, 0.0055]",False,"+0.0128 [0.0027, 0.0230]",True,"+0.0165 [0.0034, 0.0296]",True,"+0.0017 [0.0000, 0.0043]",False,"+0.0313 [0.0057, 0.0570]",True,"+0.0122 [0.0021, 0.0223]",True,"+0.0049 [0.0000, 0.0117]",True,"+0.0082 [0.0020, 0.0145]",True,"-0.0127 [-0.0164, -0.0088]",True,"-0.0147 [-0.0184, -0.0107]",True
