stage,epoch,train_loss,n,n_normal,n_pneumonia,auroc,auprc,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,brier,threshold,tn,fp,fn,tp
1,1,0.37676168492306833,779,201,578,0.9807967084990273,0.9932205344745594,0.9409499358151476,0.9082872833066501,0.9757785467128027,0.8407960199004975,0.9463087248322147,0.9608177172061328,0.05142145511487612,0.5,169,32,14,564
1,2,0.22464983230051788,779,201,578,0.9841536263320078,0.9943716347001947,0.9435173299101413,0.9440901031176299,0.9429065743944637,0.945273631840796,0.9802158273381295,0.9611992945326279,0.047627385379564416,0.5,190,11,33,545
1,3,0.19379851853717928,779,201,578,0.9858148702852519,0.9949978433848533,0.9293966623876765,0.944309593899017,0.9134948096885813,0.9751243781094527,0.9906191369606003,0.9504950495049505,0.05435912690635923,0.5,196,5,50,528
1,4,0.1778559396178394,779,201,578,0.9871576374184442,0.9954583207872442,0.9358151476251605,0.948634853414588,0.9221453287197232,0.9751243781094527,0.9907063197026023,0.9551971326164874,0.049403173277734386,0.5,196,5,45,533
1,5,0.1686830386735391,779,201,578,0.9878892733564014,0.9956484806701225,0.9614890885750963,0.9594458503331096,0.9636678200692042,0.9552238805970149,0.9840989399293286,0.9737762237762237,0.03423904764672771,0.5,192,9,21,557
2,1,0.07644428246303638,779,201,578,0.9985453356057085,0.9995223684744967,0.9845956354300385,0.9733942743032243,0.9965397923875432,0.9502487562189055,0.9829351535836177,0.9896907216494846,0.011029811344153737,0.5,191,10,2,576
2,2,0.03285511327566633,779,201,578,0.9986744478300539,0.9995891595996885,0.9922978177150192,0.9915646680094339,0.9930795847750865,0.9900497512437811,0.9965277777777778,0.9948006932409013,0.005196532420123362,0.5,199,2,4,574
2,3,0.021983848430218,779,201,578,0.9988810273890065,0.9996398258226862,0.9884467265725289,0.9873470020141506,0.9896193771626297,0.9850746268656716,0.9947826086956522,0.9921942758022549,0.008669837906297346,0.5,198,3,6,572
2,4,0.017214599501038312,779,201,578,0.999035962058221,0.9996733722675607,0.975609756097561,0.9835640138408305,0.967128027681661,1.0,1.0,0.9832893579595426,0.018247167127880097,0.5,201,0,19,559
2,5,0.008324803891941818,779,201,578,0.9987519151646611,0.9996015177413453,0.9910141206675225,0.9906996161063196,0.9913494809688581,0.9900497512437811,0.9965217391304347,0.9939288811795317,0.0070193021477805645,0.5,199,2,5,573
2,6,0.006246215009884074,779,201,578,0.9993027939885348,0.9997765645327636,0.9922978177150192,0.9883196474375526,0.9965397923875432,0.9800995024875622,0.993103448275862,0.9948186528497409,0.006702889378204736,0.5,197,4,2,576
2,7,0.006245610283943845,779,201,578,0.9993114014701578,0.9997707022960381,0.9910141206675225,0.9923221263922601,0.9896193771626297,0.9950248756218906,0.9982547993019197,0.9939183318853171,0.007062154080987306,0.5,200,1,6,572
2,8,0.0013325265320918993,779,201,578,0.9992511490987966,0.9997503263887216,0.9922978177150192,0.9931871782953743,0.9913494809688581,0.9950248756218906,0.9982578397212544,0.9947916666666666,0.006043683646305699,0.5,200,1,5,573
2,9,0.0012168643514588189,779,201,578,0.9994232987312572,0.999807475952625,0.9948652118100129,0.9949172821016028,0.9948096885813149,0.9950248756218906,0.9982638888888888,0.9965337954939342,0.005253498046606523,0.5,200,1,3,575
2,10,0.000759860369785399,779,201,578,0.9994749436209953,0.9998259067473741,0.9948652118100129,0.9949172821016028,0.9948096885813149,0.9950248756218906,0.9982638888888888,0.9965337954939342,0.004830260728051773,0.5,200,1,3,575
2,11,0.0008044976173590366,779,201,578,0.9993974762863881,0.9998036999021179,0.9948652118100129,0.9949172821016028,0.9948096885813149,0.9950248756218906,0.9982638888888888,0.9965337954939342,0.004717172182262263,0.5,200,1,3,575
2,12,0.0007073115551467735,779,201,578,0.9993716538415189,0.9997948888161591,0.9948652118100129,0.9949172821016028,0.9948096885813149,0.9950248756218906,0.9982638888888888,0.9965337954939342,0.004831111426303656,0.5,200,1,3,575
2,13,0.00032205717556333156,779,201,578,0.9995524109556027,0.9998517251523962,0.9948652118100129,0.9949172821016028,0.9948096885813149,0.9950248756218906,0.9982638888888888,0.9965337954939342,0.004529163444294218,0.5,200,1,3,575
2,14,0.00035262152727576955,779,201,578,0.9994663361393724,0.9998236153984554,0.9948652118100129,0.9949172821016028,0.9948096885813149,0.9950248756218906,0.9982638888888888,0.9965337954939342,0.004693170348657604,0.5,200,1,3,575
2,15,0.00041813032683658884,779,201,578,0.9995265885107336,0.9998427556783334,0.9948652118100129,0.9949172821016028,0.9948096885813149,0.9950248756218906,0.9982638888888888,0.9965337954939342,0.004811007625413824,0.5,200,1,3,575
2,16,0.0003991800109506057,779,201,578,0.9995782334004717,0.9998592561145403,0.9948652118100129,0.9949172821016028,0.9948096885813149,0.9950248756218906,0.9982638888888888,0.9965337954939342,0.004832218878475196,0.5,200,1,3,575
2,17,0.00014298052390065584,779,201,578,0.9995782334004717,0.9998592561145403,0.9948652118100129,0.9949172821016028,0.9948096885813149,0.9950248756218906,0.9982638888888888,0.9965337954939342,0.004810672104462886,0.5,200,1,3,575
2,18,0.00023253902518065487,779,201,578,0.9994835511026184,0.9998281032106373,0.9948652118100129,0.9949172821016028,0.9948096885813149,0.9950248756218906,0.9982638888888888,0.9965337954939342,0.004835315895256467,0.5,200,1,3,575
