stage,epoch,train_loss,val_loss,mask_weight,val_auroc,val_auprc,val_accuracy,val_precision,val_sensitivity,val_specificity,val_f1,val_balanced_accuracy,val_brier_score,val_log_loss,val_mcc,val_threshold_used,lr
1,1,0.0420364439300513,0.01306585414102301,0.0,0.9954595534438534,0.9985185426978141,0.9653401797175867,0.9928443649373881,0.9602076124567474,0.9800995024875622,0.9762532981530343,0.9701535574721547,0.02781428518521331,0.10873538502034652,0.913933140683066,0.5,
1,2,0.026463761917199857,0.007717164366622456,0.0,0.9971681385460243,0.9990929560670374,0.9845956354300385,0.9879310344827587,0.9913494809688581,0.9651741293532339,0.9896373056994818,0.978261805161046,0.020606291112306677,0.0868636914510003,0.9596593683760563,0.5,
1,3,0.023877959171595582,0.009926169542595745,0.0,0.9966516896486426,0.9988926476608141,0.9704749679075738,0.9928952042628775,0.967128027681661,0.9800995024875622,0.9798422436459246,0.9736137650846115,0.02545848753400909,0.10124844357070481,0.9258383940499645,0.5,
1,4,0.017225188080792445,0.009591198319103569,0.0,0.9981063540429341,0.9993860676611265,0.9730423620025674,0.998211091234347,0.9653979238754326,0.9950248756218906,0.9815303430079155,0.9802113997486616,0.02654655138960133,0.11005840702838039,0.9334846153750492,0.5,
1,5,0.014613847355324313,0.02442257791903103,0.0,0.9975167415517568,0.9992227530497549,0.9332477535301669,1.0,0.9100346020761245,1.0,0.9528985507246377,0.9550173010380623,0.05031043580740736,0.17739531233007313,0.8502893137423467,0.5,
2,1,0.011654527490809016,0.007122709767427296,0.0,0.997426362994715,0.999165287886707,0.9833119383825417,0.9947460595446584,0.9826989619377162,0.9850746268656716,0.9886858137510879,0.9838867944016939,0.017315507504925647,0.07949744858537765,0.9571631980016702,0.5,9.960967771506667e-05
2,2,0.010190799403221883,0.006569543381920085,0.0,0.9980848353388765,0.9993816085955263,0.9845956354300385,0.9964912280701754,0.9826989619377162,0.9900497512437811,0.9895470383275261,0.9863743565907487,0.01770705869606316,0.08480506940527946,0.9606209237629687,0.5,9.844486647586725e-05
2,3,0.008449077238685649,0.005813727537806699,0.0,0.9982957186386407,0.9994571912477349,0.9897304236200257,0.9930795847750865,0.9930795847750865,0.9800995024875622,0.9930795847750865,0.9865895436313243,0.014739433177456046,0.06484380514799648,0.9731790872626487,0.5,9.652393605146846e-05
2,4,0.007631532558117633,0.005697253650942003,0.0,0.998399008418117,0.9994826051677943,0.9871630295250321,0.9965034965034965,0.986159169550173,0.9900497512437811,0.991304347826087,0.9881044603969771,0.012696411395119914,0.06116605418168178,0.9669889978134251,0.5,9.387718066217125e-05
2,5,0.007000131331159848,0.006422099156334298,0.0,0.9983129336018868,0.9994475789431763,0.9845956354300385,0.9947552447552448,0.9844290657439446,0.9850746268656716,0.9895652173913043,0.9847518463048082,0.012852247083146058,0.05642090135328887,0.960347097965993,0.5,9.054634122155992e-05
2,6,0.0064892347752928976,0.006540442118130159,0.0,0.9984764757527242,0.9994971585584906,0.982028241335045,0.993006993006993,0.9826989619377162,0.9800995024875622,0.9878260869565217,0.9813992322126392,0.01375078305034751,0.059105521238633434,0.953705198118561,0.5,8.658394705735988e-05
2,7,0.005202345361204029,0.006838444472232368,0.0,0.9982612887121486,0.9994213431517682,0.9845956354300385,0.9930313588850174,0.986159169550173,0.9800995024875622,0.9895833333333334,0.9831293360188675,0.013220171297312141,0.05668607775462738,0.9601132780218744,0.5,8.205248749256015e-05
2,8,0.005907266329269496,0.007549542257900157,0.0,0.9979471156329082,0.9993335636983643,0.9833119383825417,0.9879101899827288,0.9896193771626297,0.9651741293532339,0.9887640449438202,0.9773967532579317,0.014439052625040557,0.06225228550224277,0.9563505786169039,0.5,7.702342635146033e-05
2,9,0.0042132707234101546,0.009140204157492917,0.0,0.9978825595207355,0.9993018180439293,0.9781771501925546,0.9794871794871794,0.9913494809688581,0.9402985074626866,0.9853826311263972,0.9658239942157724,0.016399430951493762,0.06606752843352212,0.9426164195313603,0.5,7.15760749324711e-05
