architecture,comparison,candidate_component,reference_component,metric,mean_delta,ci_low,ci_high,bootstrap_n,ci_level,n_seeds,all_seed_deltas,supports_improvement_at_95ci
DenseNet121,CBAM+mask-loss minus C0,CBAM+mask-loss,C0,auprc,0.005724478088168117,0.0024817138137123705,0.009105743273727492,5000,0.95,3,"[0.004281990227935517, -0.0007151054927787559, 0.013606549529347589]",True
DenseNet121,CBAM+mask-loss minus C0,CBAM+mask-loss,C0,accuracy,0.010149572649572688,0.001602564102564134,0.018696581196581203,5000,0.95,3,"[0.0016025641025640969, 0.024038461538461564, 0.004807692307692402]",True
DenseNet121,CBAM+mask-loss minus C0,CBAM+mask-loss,C0,balanced_accuracy,0.01296296296296299,0.001994301994301987,0.024074074074074064,5000,0.95,3,"[0.00042735042735042583, 0.03205128205128205, 0.0064102564102564985]",True
DenseNet121,CBAM+mask-loss minus C0,CBAM+mask-loss,C0,sensitivity,0.0017094017094017033,0.0,0.004273504273504296,5000,0.95,3,"[0.00512820512820511, 0.0, 0.0]",False
DenseNet121,CBAM+mask-loss minus C0,CBAM+mask-loss,C0,specificity,0.024216524216524277,0.0014245014245014564,0.04561965811965766,5000,0.95,3,"[-0.004273504273504258, 0.06410256410256421, 0.012820512820512886]",True
DenseNet121,CBAM+mask-loss minus C0,CBAM+mask-loss,C0,precision,0.009745913859397196,0.0012308573071324552,0.018315503469708908,5000,0.95,3,"[-0.0008540372670807761, 0.025319319249643257, 0.004772459595629108]",True
DenseNet121,CBAM+mask-loss minus C0,CBAM+mask-loss,C0,npv,0.005070979412513628,0.00011684989186501101,0.012150339249590837,5000,0.95,3,"[0.013593380614657202, 0.0014406454091432375, 0.0001789122137404453]",True
DenseNet121,CBAM+mask-loss minus C0,CBAM+mask-loss,C0,f1,0.006637762410506361,0.001347195997242473,0.012090188394325843,5000,0.95,3,"[0.0015325670498084198, 0.015397354935487217, 0.002983365246223446]",True
DenseNet121,CBAM+mask-loss minus C0,CBAM+mask-loss,C0,brier,-0.012786404265862689,-0.016415084227798436,-0.009174456414227362,5000,0.95,3,"[-0.01031432995324183, -0.012405679538792694, -0.015639203305553545]",True
DenseNet121,CBAM+mask-loss minus C0,CBAM+mask-loss,C0,ece,-0.015253262642102416,-0.018910634797862414,-0.011387579232199569,5000,0.95,3,"[-0.008020572173289858, -0.020680155509557457, -0.017059060243459934]",True
DenseNet121,CBAM+mask-loss minus CBAM-only,CBAM+mask-loss,CBAM-only,auroc,0.008336985901088445,0.0030827215282342828,0.013709182555336496,5000,0.95,3,"[0.007725180802103715, 6.026736795983201e-05, 0.017225509533201788]",True
DenseNet121,CBAM+mask-loss minus CBAM-only,CBAM+mask-loss,CBAM-only,auprc,0.010521359459864396,0.004110203051294106,0.017168405815889593,5000,0.95,3,"[0.009306738017059835, -0.0013845763076644202, 0.02364191667019777]",True
DenseNet121,CBAM+mask-loss minus CBAM-only,CBAM+mask-loss,CBAM-only,accuracy,-0.002136752136752129,-0.011217948717948715,0.006410256410256425,5000,0.95,3,"[-0.01602564102564108, 0.01602564102564108, -0.0064102564102563875]",False
