architecture,component,condition,n_seeds,auroc_mean,auroc_sd,auroc,auprc_mean,auprc_sd,auprc,accuracy_mean,accuracy_sd,accuracy,balanced_accuracy_mean,balanced_accuracy_sd,balanced_accuracy,sensitivity_mean,sensitivity_sd,sensitivity,specificity_mean,specificity_sd,specificity,precision_mean,precision_sd,precision,npv_mean,npv_sd,npv,f1_mean,f1_sd,f1,brier_mean,brier_sd,brier,ece_mean,ece_sd,ece
DenseNet121,C0,D-C0,3,0.9677441741544306,0.0028538576813133573,0.9677 +/- 0.0029,0.9767377489240019,0.0026623097889013434,0.9767 +/- 0.0027,0.8360042735042734,0.008223720255523884,0.8360 +/- 0.0082,0.7833333333333333,0.01217011185119506,0.7833 +/- 0.0122,0.994017094017094,0.003916731363210106,0.9940 +/- 0.0039,0.5726495726495725,0.028023241556846167,0.5726 +/- 0.0280,0.795051813090165,0.010049936053618952,0.7951 +/- 0.0100,0.9832703940254123,0.010151805768449982,0.9833 +/- 0.0102,0.8834316076456205,0.004783151817036908,0.8834 +/- 0.0048,0.13861848522733997,0.0122361498941856,0.1386 +/- 0.0122,0.17790408521635923,0.013610653494942886,0.1779 +/- 0.0136
DenseNet121,CBAM-only,D-CBAM,3,0.9663050624589088,0.0035070300059879375,0.9663 +/- 0.0035,0.9719408675523057,0.00795851809898515,0.9719 +/- 0.0080,0.8482905982905983,0.011369549494547436,0.8483 +/- 0.0114,0.7994301994301994,0.015159399326063217,0.7994 +/- 0.0152,0.9948717948717949,0.0,0.9949 +/- 0.0000,0.603988603988604,0.030318798652126444,0.6040 +/- 0.0303,0.8073299384180519,0.011965155455617157,0.8073 +/- 0.0120,0.9860239732330595,0.0006832432216762852,0.9860 +/- 0.0007,0.8913105988402122,0.007279132884332612,0.8913 +/- 0.0073,0.14852102581962132,0.015645039041251516,0.1485 +/- 0.0156,0.19069708514417336,0.01616910612008622,0.1907 +/- 0.0162
DenseNet121,mask-loss-only,D-MASK,3,0.9702863613120024,0.006832139702299999,0.9703 +/- 0.0068,0.9765688629767745,0.008319898804927024,0.9766 +/- 0.0083,0.826923076923077,0.023715782991905014,0.8269 +/- 0.0237,0.7712250712250713,0.03113016385382084,0.7712 +/- 0.0311,0.994017094017094,0.00148038530561442,0.9940 +/- 0.0015,0.5484330484330484,0.06078800083576029,0.5484 +/- 0.0608,0.7862272711547278,0.02257668408030923,0.7862 +/- 0.0226,0.9816762630155204,0.006724964549533294,0.9817 +/- 0.0067,0.8778877118792897,0.014741186309367018,0.8779 +/- 0.0147,0.14961799227498732,0.03399478230100194,0.1496 +/- 0.0340,0.1874557346360296,0.03407125195586903,0.1875 +/- 0.0341
DenseNet121,CBAM+mask-loss,D-P,3,0.9746420483599971,0.005477197683000363,0.9746 +/- 0.0055,0.9824622270121702,0.005040336447540288,0.9825 +/- 0.0050,0.8461538461538461,0.015287487202194645,0.8462 +/- 0.0153,0.7962962962962963,0.020788449715198824,0.7963 +/- 0.0208,0.9957264957264957,0.00148038530561442,0.9957 +/- 0.0015,0.5968660968660969,0.0428062085507599,0.5969 +/- 0.0428,0.8047977269495622,0.016543691301484666,0.8048 +/- 0.0165,0.9883413734379259,0.0035233690791480884,0.9883 +/- 0.0035,0.890069370056127,0.00962684503146414,0.8901 +/- 0.0096,0.12583208096147727,0.011469840581339031,0.1258 +/- 0.0115,0.16265082257425678,0.01770027806939747,0.1627 +/- 0.0177
ResNet50,C0,R-C0,3,0.969904667981591,0.0018400215651105738,0.9699 +/- 0.0018,0.9788674654741033,0.002305719094478241,0.9789 +/- 0.0023,0.8360042735042735,0.04180000034078984,0.8360 +/- 0.0418,0.7827635327635326,0.056203215840085884,0.7828 +/- 0.0562,0.9957264957264957,0.0014803853056144197,0.9957 +/- 0.0015,0.5698005698005698,0.11381757467486142,0.5698 +/- 0.1138,0.7957051944315685,0.042318991530400064,0.7957 +/- 0.0423,0.9879111518619452,0.0023330528078774402,0.9879 +/- 0.0023,0.8841119671714521,0.025820866679743114,0.8841 +/- 0.0258,0.13994268091998965,0.004907419357188268,0.1399 +/- 0.0049,0.18467175247322798,0.005222835373638931,0.1847 +/- 0.0052
ResNet50,CBAM-only,R-CBAM,3,0.9637281759076631,0.008804687313276268,0.9637 +/- 0.0088,0.972421235074371,0.009575078475154698,0.9724 +/- 0.0096,0.8669871794871794,0.019692637383725165,0.8670 +/- 0.0197,0.8249287749287749,0.026087051364811542,0.8249 +/- 0.0261,0.9931623931623932,0.00148038530561442,0.9932 +/- 0.0015,0.6566951566951567,0.051695861286678225,0.6567 +/- 0.0517,0.8285862890214645,0.021252843308067697,0.8286 +/- 0.0213,0.9828162299547841,0.0043087757947212835,0.9828 +/- 0.0043,0.9033449029161389,0.012901788968690002,0.9033 +/- 0.0129,0.1278266955639635,0.0018136449411339077,0.1278 +/- 0.0018,0.16976137038988948,0.00797014870257996,0.1698 +/- 0.0080
ResNet50,mask-loss-only,R-MASK,3,0.9695394112060778,0.009441856737905438,0.9695 +/- 0.0094,0.9779419735037292,0.00816283066203488,0.9779 +/- 0.0082,0.8547008547008547,0.024268839084616595,0.8547 +/- 0.0243,0.8085470085470087,0.032969746191428895,0.8085 +/- 0.0330,0.9931623931623932,0.00296077061122884,0.9932 +/- 0.0030,0.623931623931624,0.06783977720678437,0.6239 +/- 0.0678,0.8154849505353425,0.026505203248849755,0.8155 +/- 0.0265,0.9823123378678934,0.006182713112469637,0.9823 +/- 0.0062,0.8954189740263226,0.015350834061914283,0.8954 +/- 0.0154,0.13324179546857018,0.014450982652671206,0.1332 +/- 0.0145,0.17694661759922647,0.013502762616493646,0.1769 +/- 0.0135
ResNet50,CBAM+mask-loss,R-P,3,0.9730732705091679,0.0029914546638736468,0.9731 +/- 0.0030,0.9802519065273878,0.0019069129314939098,0.9803 +/- 0.0019,0.8488247863247863,0.039817617849538925,0.8488 +/- 0.0398,0.7992877492877493,0.05309015713271852,0.7993 +/- 0.0531,0.9974358974358974,0.0,0.9974 +/- 0.0000,0.6011396011396011,0.10618031426543716,0.6011 +/- 0.1062,0.807884399538782,0.040423492266220294,0.8079 +/- 0.0404,0.992776467607686,0.0014087785251628464,0.9928 +/- 0.0014,0.8923357645479628,0.025007821434338884,0.8923 +/- 0.0250,0.1272732515380217,0.008072195020458837,0.1273 +/- 0.0081,0.1700169265779675,0.006751509819085086,0.1700 +/- 0.0068
