n,n_normal,n_pneumonia,auroc,auprc,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,brier,threshold,tn,fp,fn,tp,architecture,seed,best_val_auroc,best_epoch_stage2
624,234,390,0.9671542844619768,0.9734585750643305,0.7900641025641025,0.7200854700854701,1.0,0.44017094017094016,0.7485604606525912,0.8562019758507134,0.17622568743880565,0.33,103,131,0,390,DenseNet121,3407,0.9996298782902099,5
624,234,390,0.9358864781941705,0.938117358296305,0.8108974358974359,0.7487179487179487,0.9974358974358974,0.5,0.7687747035573123,0.8683035714285714,0.21254833156849465,0.91,117,117,1,389,DenseNet121,42,0.9995524109556027,13
624,234,390,0.9606454087223318,0.9726060522008882,0.8365384615384616,0.7846153846153846,0.9923076923076923,0.5769230769230769,0.7962962962962963,0.8835616438356164,0.14545030097229056,0.5700000000000001,135,99,3,387,DenseNet121,2024,0.9992167191723046,3
624,234,390,0.9561198772737234,0.9677065438471228,0.8285256410256411,0.7713675213675213,1.0,0.5427350427350427,0.7847082494969819,0.8793686583990981,0.1644526288933094,0.6,127,107,0,390,ResNet50,3407,0.999337223915027,2
624,234,390,0.9433815472277012,0.9469076682065668,0.8173076923076923,0.7572649572649572,0.9974358974358974,0.5170940170940171,0.7749003984063745,0.8721973094170403,0.1807328007004683,0.72,121,113,1,389,ResNet50,42,0.9997762054778013,6
624,234,390,0.9650613631382863,0.9743949531236724,0.7996794871794872,0.732905982905983,1.0,0.4658119658119658,0.7572815533980582,0.861878453038674,0.14738426319328538,0.19,109,125,0,390,ResNet50,2024,0.9997675979961782,4
