stage,epoch,train_loss,val_loss,mask_weight,val_auroc,val_auprc,val_accuracy,val_precision,val_sensitivity,val_specificity,val_f1,val_balanced_accuracy,val_brier_score,val_log_loss,val_mcc,val_threshold_used,lr
1,1,0.044132941728797705,0.016353557221591472,0.020000000000000004,0.9983258448243213,0.9994311322083782,0.9807445442875481,0.9947275922671354,0.9792387543252595,0.9850746268656716,0.986922406277245,0.9821566905954655,0.02224116155479297,0.10403259264654394,0.9508551446359725,0.5,
1,2,0.030090771853434343,0.018148116879165174,0.04000000000000001,0.9990273545765981,0.9996781105690601,0.9910141206675225,0.9982547993019197,0.9896193771626297,0.9950248756218906,0.9939183318853171,0.9923221263922601,0.015405444686915409,0.0759689419729425,0.9768556147805229,0.5,
1,3,0.030259973661851708,0.02972648315131664,0.06,0.9988293824992683,0.999616316285706,0.9589216944801027,1.0,0.9446366782006921,1.0,0.9715302491103203,0.972318339100346,0.0317971614039816,0.12291499508423212,0.9027187650360641,0.5,
1,4,0.030452760072411413,0.026208902075886727,0.08000000000000002,0.9984592607894782,0.9995054924921376,0.9871630295250321,0.9930555555555556,0.9896193771626297,0.9800995024875622,0.9913344887348353,0.9848594398250959,0.016665107441395974,0.08257302674618029,0.9666038893986888,0.5,
1,5,0.03507745497091843,0.030604616552591325,0.1,0.9984291346037977,0.9994815618295656,0.9858793324775353,0.9930434782608696,0.9878892733564014,0.9800995024875622,0.9904596704249783,0.9839943879219818,0.018710938725854834,0.09020451168182335,0.9633481404713822,0.5,
2,1,0.035851029488835895,0.03219414249062538,0.1,0.9975468677374374,0.999207119547352,0.9871630295250321,0.9913494809688581,0.9913494809688581,0.9751243781094527,0.9913494809688581,0.9832369295391554,0.016152269787635398,0.07790152934472402,0.9664738590783108,0.5,9.960967771506667e-05
2,2,0.03154593650387586,0.030096963122487067,0.1,0.9990962144295822,0.9997089190764932,0.9897304236200257,1.0,0.986159169550173,1.0,0.9930313588850174,0.9930795847750865,0.014704362057628026,0.07184809379574128,0.9738641846487394,0.5,9.844486647586725e-05
2,3,0.02934027032206093,0.028792235776782037,0.1,0.9988207750176453,0.9996163845423279,0.9922978177150192,0.9948096885813149,0.9948096885813149,0.9850746268656716,0.9948096885813149,0.9899421577234933,0.010985957641093624,0.05602514723104172,0.9798843154469865,0.5,9.652393605146846e-05
2,4,0.028201398908765645,0.028873192444443703,0.1,0.9988982423522526,0.999642289464462,0.9884467265725289,0.9930675909878682,0.9913494809688581,0.9800995024875622,0.9922077922077922,0.9857244917282102,0.010509959935017426,0.05067931069474363,0.9698807838345096,0.5,9.387718066217125e-05
2,5,0.029127343143098547,0.029074077606201173,0.1,0.99854963934652,0.9995482501189128,0.9884467265725289,0.9930675909878682,0.9913494809688581,0.9800995024875622,0.9922077922077922,0.9857244917282102,0.012877059997722434,0.06123195713734086,0.9698807838345096,0.5,9.054634122155992e-05
2,6,0.0268208283088068,0.02931457355618477,0.1,0.9989671022052368,0.9996699091765929,0.9897304236200257,0.9982517482517482,0.9878892733564014,0.9950248756218906,0.9930434782608696,0.991457074489146,0.01199037101571241,0.05930344416272175,0.9736308976608572,0.5,8.658394705735988e-05
2,7,0.026091083666704,0.029933265522122384,0.1,0.9990703919847131,0.9996967411233407,0.9884467265725289,1.0,0.9844290657439446,1.0,0.992153443766347,0.9922145328719723,0.012417758281753321,0.059351190388801205,0.9706900888752459,0.5,8.205248749256015e-05
2,8,0.026379817892817684,0.02857389993965626,0.1,0.9986916627932999,0.9995838270686338,0.9897304236200257,0.9965156794425087,0.9896193771626297,0.9900497512437811,0.9930555555555556,0.9898345642032054,0.010849497619448667,0.05515831740953701,0.9734384440426309,0.5,7.702342635146033e-05
2,9,0.026518675287927153,0.029470228999853135,0.1,0.9990876069479591,0.9996970001223525,0.9897304236200257,1.0,0.986159169550173,1.0,0.9930313588850174,0.9930795847750865,0.011643365594108666,0.05297335578246279,0.9738641846487394,0.5,7.15760749324711e-05
2,10,0.024899689575833994,0.028098041415214537,0.1,0.9991048219112052,0.9997051780389719,0.9897304236200257,0.9982517482517482,0.9878892733564014,0.9950248756218906,0.9930434782608696,0.991457074489146,0.009225424607352761,0.04530247590997655,0.9736308976608572,0.5,6.57963412215599e-05
2,11,0.02569841763453327,0.03126269064843654,0.1,0.9992468453579851,0.9997472245917606,0.9871630295250321,1.0,0.9826989619377162,1.0,0.9912739965095986,0.9913494809688581,0.01371618825468267,0.06319803085232119,0.9675358140241327,0.5,5.977537507199338e-05
2,12,0.024622707852046854,0.027540478855371475,0.1,0.9992081116906816,0.9997413941341113,0.9910141206675225,0.9982547993019197,0.9896193771626297,0.9950248756218906,0.9939183318853171,0.9923221263922601,0.008888318139656588,0.04436861297196643,0.9768556147805229,0.5,5.360813071670102e-05
2,13,0.024435708448834664,0.02765467867255211,0.1,0.9992081116906816,0.9997370432719928,0.9884467265725289,0.9930675909878682,0.9913494809688581,0.9800995024875622,0.9922077922077922,0.9857244917282102,0.008203925515947334,0.037368004736777656,0.9698807838345096,0.5,4.739186928329899e-05
2,14,0.023573819833406565,0.027922607511281967,0.1,0.9993974762863881,0.9997986302628592,0.9922978177150192,1.0,0.9896193771626297,1.0,0.9947826086956522,0.9948096885813149,0.009335688256083193,0.04415506194535327,0.9802727975082892,0.5,4.122462492800663e-05
2,15,0.02377128684009514,0.027252528071403503,0.1,0.9991693780233779,0.999733819486897,0.9910141206675225,0.9982547993019197,0.9896193771626297,0.9950248756218906,0.9939183318853171,0.9923221263922601,0.008632117487364636,0.043747821219712164,0.9768556147805229,0.5,3.520365877844011e-05
2,16,0.02336045154744256,0.027726348787546158,0.1,0.9991134293928282,0.9997175821169468,0.9897304236200257,0.9947916666666666,0.9913494809688581,0.9850746268656716,0.9930675909878682,0.9882120539172649,0.007956772610902193,0.03994810980311998,0.9732875786392495,0.5,2.9423925067528902e-05
2,17,0.02315404703908593,0.027767591923475266,0.1,0.9992253266539276,0.9997514944849965,0.9897304236200257,0.9982517482517482,0.9878892733564014,0.9950248756218906,0.9930434782608696,0.991457074489146,0.008525761157184434,0.04048067706124967,0.9736308976608572,0.5,2.3976573648539653e-05
2,18,0.023827891565696167,0.027223587557673453,0.1,0.9991392518376973,0.9997311870538318,0.993581514762516,1.0,0.9913494809688581,1.0,0.9956559513466551,0.995674740484429,0.0076526425093929274,0.039343633510377125,0.9835078039155651,0.5,1.8947512507439855e-05
2,19,0.02346104957217718,0.02801466703414917,0.1,0.9988982423522526,0.99966612852036,0.9910141206675225,1.0,0.9878892733564014,1.0,0.9939077458659704,0.9939446366782008,0.007900853743683312,0.0409503123572706,0.9770583399847883,0.5,1.4416052942640137e-05
2,20,0.02313142742988837,0.028249434605240823,0.1,0.9987691301279071,0.999628300661457,0.9910141206675225,0.9982547993019197,0.9896193771626297,0.9950248756218906,0.9939183318853171,0.9923221263922601,0.007720798524164543,0.039887527668041545,0.9768556147805229,0.5,1.0453658778440105e-05
