stage,epoch,train_loss,n,n_normal,n_pneumonia,auroc,auprc,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,brier,threshold,tn,fp,fn,tp
1,1,0.36328644597012066,779,201,578,0.9789202775052075,0.9919702327628865,0.9370988446726572,0.9348973127442373,0.9394463667820069,0.9303482587064676,0.9748653500897666,0.9568281938325991,0.05711504551901725,0.5,187,14,35,543
1,2,0.22879899557733882,779,201,578,0.9831551584637367,0.9937199931194691,0.9345314505776636,0.9429022706536521,0.9256055363321799,0.9601990049751243,0.9852670349907919,0.9545049063336307,0.05460280180533224,0.5,193,8,43,535
1,3,0.19611943043444469,779,201,578,0.9848422248618499,0.9943785278555131,0.9525032092426188,0.9452779355816074,0.9602076124567474,0.9303482587064676,0.9753954305799648,0.967741935483871,0.03725385972903114,0.5,187,14,23,555
1,4,0.17990116194646427,779,201,578,0.9860558797706968,0.9948907203045112,0.9550706033376123,0.9583656113894197,0.9515570934256056,0.9651741293532339,0.9874326750448833,0.9691629955947136,0.039635105278411895,0.5,194,7,28,550
1,5,0.155560662187096,779,201,578,0.9865723286680783,0.9951406950279125,0.9473684210526315,0.9564203205426156,0.9377162629757786,0.9751243781094527,0.9908592321755028,0.9635555555555556,0.04295391063680869,0.5,196,5,36,542
2,1,0.07455807773436865,779,201,578,0.99775344729639,0.9993068628667763,0.9794608472400513,0.9699340666907676,0.9896193771626297,0.9502487562189055,0.9828178694158075,0.9862068965517241,0.013508897324158413,0.5,191,10,6,572
2,2,0.03297666295185226,779,201,578,0.9978309146309973,0.9993284435630607,0.9845956354300385,0.9831293360188675,0.986159169550173,0.9800995024875622,0.9930313588850174,0.9895833333333334,0.012150950808288907,0.5,197,4,8,570
2,3,0.02019509682893682,779,201,578,0.9992167191723046,0.9997407798283515,0.9910141206675225,0.9923221263922601,0.9896193771626297,0.9950248756218906,0.9982547993019197,0.9939183318853171,0.007521670341910148,0.5,200,1,6,572
2,4,0.011249003048431115,779,201,578,0.9990445695398441,0.9996946413299389,0.9910141206675225,0.9939446366782008,0.9878892733564014,1.0,1.0,0.9939077458659704,0.008343368491777107,0.5,201,0,7,571
2,5,0.009205552266249088,779,201,578,0.9991478593193204,0.9997205852801871,0.9910141206675225,0.9939446366782008,0.9878892733564014,1.0,1.0,0.9939077458659704,0.007698587487873111,0.5,201,0,7,571
2,6,0.014086461804636465,779,201,578,0.9987433076830381,0.9996096351973472,0.9884467265725289,0.9873470020141506,0.9896193771626297,0.9850746268656716,0.9947826086956522,0.9921942758022549,0.00909414803500312,0.5,198,3,6,572
2,7,0.010123744995022813,779,201,578,0.9987002702749229,0.999598291846807,0.9871630295250321,0.9913494809688581,0.9826989619377162,1.0,1.0,0.9912739965095986,0.011234018699485811,0.5,201,0,10,568
2,8,0.003906502385478339,779,201,578,0.9992941865069118,0.9997695122273018,0.9922978177150192,0.9948096885813149,0.9896193771626297,1.0,1.0,0.9947826086956522,0.006650275471077128,0.5,201,0,6,572
