stage,epoch,train_loss,n,n_normal,n_pneumonia,auroc,auprc,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,brier,threshold,tn,fp,fn,tp
1,1,0.39669213551973953,779,201,578,0.9792903992149977,0.991696591337985,0.926829268292683,0.9344669386630859,0.9186851211072664,0.9502487562189055,0.9815157116451017,0.9490616621983914,0.06590322713604368,0.5,191,10,47,531
1,2,0.22426948793556378,779,201,578,0.9822513728933189,0.9930089727452334,0.9499358151476252,0.9467928523472602,0.9532871972318339,0.9402985074626866,0.9786856127886323,0.9658194566170026,0.04485722893529582,0.5,189,12,27,551
1,3,0.19950842922148498,779,201,578,0.9840503365525314,0.9937065960683388,0.9473684210526315,0.9547978102566751,0.9394463667820069,0.9701492537313433,0.9890710382513661,0.963620230700976,0.04404893712949761,0.5,195,6,35,543
1,4,0.187538661899558,779,201,578,0.9858923376198592,0.9944929541017369,0.9435173299101413,0.9522026545473325,0.9342560553633218,0.9701492537313433,0.989010989010989,0.9608540925266904,0.043874813242659384,0.5,195,6,38,540
1,5,0.17263937479667907,779,201,578,0.9862882817745183,0.9947918741358442,0.9589216944801027,0.9625832773847027,0.9550173010380623,0.9701492537313433,0.989247311827957,0.971830985915493,0.03738783554028611,0.5,195,6,26,552
2,1,0.07251113809247002,779,201,578,0.9987691301279071,0.9996141944720478,0.9897304236200257,0.9882120539172649,0.9913494809688581,0.9850746268656716,0.9947916666666666,0.9930675909878682,0.007505209285028607,0.5,198,3,5,573
2,2,0.028429229982409026,779,201,578,0.9988724199073835,0.9996272461478526,0.9871630295250321,0.9832369295391554,0.9913494809688581,0.9751243781094527,0.9913494809688581,0.9913494809688581,0.009383230760120233,0.5,196,5,5,573
2,3,0.022409711938118984,779,201,578,0.9988552049441375,0.9996385274935897,0.9794608472400513,0.965066535832946,0.9948096885813149,0.9353233830845771,0.9778911564625851,0.9862778730703259,0.012046033432516623,0.5,188,13,3,575
2,4,0.011867950829226807,779,201,578,0.9992339341355505,0.9997500957846253,0.9922978177150192,0.9915646680094339,0.9930795847750865,0.9900497512437811,0.9965277777777778,0.9948006932409013,0.005803252259408484,0.5,199,2,4,574
2,5,0.010831947610695615,779,201,578,0.9996298782902099,0.9998762806299847,0.9961489088575096,0.9974048442906575,0.9948096885813149,1.0,1.0,0.997398091934085,0.0036300415658993283,0.5,201,0,3,575
2,6,0.008594396575946133,779,201,578,0.9993974762863881,0.9997989974129398,0.9845956354300385,0.9879968668766892,0.9809688581314879,0.9950248756218906,0.9982394366197183,0.9895287958115183,0.010970851832107458,0.5,200,1,11,567
2,7,0.007221187392436453,779,201,578,0.9992941865069118,0.9997711311447766,0.9922978177150192,0.9931871782953743,0.9913494809688581,0.9950248756218906,0.9982578397212544,0.9947916666666666,0.006688112222184486,0.5,200,1,5,573
2,8,0.010743435732760901,779,201,578,0.9993372239150269,0.9997778641444467,0.9884467265725289,0.9841019814422696,0.9930795847750865,0.9751243781094527,0.9913644214162349,0.9922212618841832,0.0076580270480899005,0.5,196,5,4,574
2,9,0.00260119520217431,779,201,578,0.9995179810291106,0.999840241573352,0.993581514762516,0.9940522301984885,0.9930795847750865,0.9950248756218906,0.9982608695652174,0.9956634865568084,0.004176228386878482,0.5,200,1,4,574
2,10,0.0022087056187818075,779,201,578,0.9996040558453408,0.9998670177165563,0.993581514762516,0.9940522301984885,0.9930795847750865,0.9950248756218906,0.9982608695652174,0.9956634865568084,0.004347408368240883,0.5,200,1,4,574
