condition,architecture,auroc_mean,auroc_std,auprc_mean,auprc_std,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,precision_mean,precision_std,npv_mean,npv_std,f1_mean,f1_std,brier_mean,brier_std,ece_mean,ece_std
D-C0,DenseNet121,0.9677441741544306,0.002853857681313341,0.9767377489240019,0.0026623097889013543,0.8360042735042734,0.0082237202555239,0.7833333333333333,0.012170111851195084,0.994017094017094,0.003916731363210106,0.5726495726495726,0.028023241556846143,0.795051813090165,0.010049936053618966,0.9832703940254123,0.010151805768450014,0.8834316076456205,0.004783151817036892,0.13861848522733997,0.0122361498941856,0.17790408521635923,0.013610653494942882
D-P,DenseNet121,0.9746420483599971,0.005477197683000355,0.98246222701217,0.0050403364475402595,0.8461538461538461,0.015287487202194637,0.7962962962962963,0.02078844971519881,0.9957264957264957,0.0014803853056144197,0.5968660968660969,0.042806208550759915,0.8047977269495622,0.01654369130148467,0.9883413734379259,0.00352336907914814,0.890069370056127,0.00962684503146414,0.12583208096147727,0.011469840581339034,0.16265082257425678,0.017700278069397467
R-C0,ResNet50,0.969904667981591,0.0018400215651105738,0.9788674654741033,0.0023057190944782827,0.8360042735042734,0.04180000034078985,0.7827635327635328,0.05620321584008586,0.9957264957264957,0.0014803853056144197,0.5698005698005698,0.11381757467486144,0.7957051944315685,0.04231899153040005,0.9879111518619452,0.002333052807877435,0.8841119671714521,0.025820866679743117,0.13994268091998965,0.004907419357188279,0.18467175247322798,0.005222835373638944
R-P,ResNet50,0.9730732705091679,0.0029914546638736468,0.9802519065273878,0.0019069129314939104,0.8488247863247863,0.03981761784953894,0.7992877492877493,0.05309015713271852,0.9974358974358974,0.0,0.6011396011396012,0.10618031426543716,0.807884399538782,0.040423492266220294,0.992776467607686,0.0014087785251628484,0.8923357645479628,0.02500782143433889,0.1272732515380217,0.00807219502045884,0.1700169265779675,0.006751509819085086
