architecture,seed,comparison,delta_auroc,delta_auprc,delta_accuracy,delta_balanced_accuracy,delta_sensitivity,delta_specificity,delta_precision,delta_npv,delta_f1,delta_brier,delta_ece
DenseNet121,3407,D-P_minus_D-C0,0.006766381766381779,0.004281990227935517,0.0016025641025640969,0.00042735042735042583,0.00512820512820511,-0.004273504273504258,-0.0008540372670807761,0.013593380614657202,0.0015325670498084198,-0.01031432995324183,-0.008020572173289858
DenseNet121,42,D-P_minus_D-C0,-0.0007177295638832737,-0.0007151054927787559,0.024038461538461564,0.03205128205128205,0.0,0.06410256410256421,0.025319319249643257,0.0014406454091432375,0.015397354935487217,-0.012405679538792694,-0.020680155509557457
DenseNet121,2024,D-P_minus_D-C0,0.014644970414201097,0.013606549529347589,0.004807692307692402,0.0064102564102564985,0.0,0.012820512820512886,0.004772459595629108,0.0001789122137404453,0.002983365246223446,-0.015639203305553545,-0.017059060243459934
ResNet50,3407,R-P_minus_R-C0,0.004147490685952326,0.00094259525296847,-0.0016025641025640969,-0.002991452991452981,0.002564102564102555,-0.008547008547008517,-0.003193718714825544,0.006206614944875399,-0.0008377487406568962,-0.010658049505134548,-0.010626609508807866
ResNet50,42,R-P_minus_R-C0,0.0017751479289941363,-0.0005622418148322206,0.012820512820512886,0.017094017094017144,0.0,0.03418803418803423,0.011734141752353766,0.0006742520016855824,0.0075994280893127986,-0.004089710778270028,-0.00752323713058084
ResNet50,2024,R-P_minus_R-C0,0.0035831689677844336,0.0037729697217174785,0.027243589743589758,0.035470085470085344,0.002564102564102555,0.06837606837606836,0.02799719228411235,0.007715080290661147,0.017909712780876275,-0.02326052786249934,-0.025814631046392894
