stage,epoch,train_loss,val_loss,mask_weight,val_auroc,val_auprc,val_accuracy,val_precision,val_sensitivity,val_specificity,val_f1,val_balanced_accuracy,val_brier_score,val_log_loss,val_mcc,val_threshold_used,lr
1,1,0.04563610992618721,0.02552412435412407,0.020000000000000004,0.9953261374786966,0.9984412121373747,0.9460847240051348,0.9981412639405205,0.9290657439446367,0.9950248756218906,0.9623655913978495,0.9620453097832636,0.04711569521447048,0.18728609258815646,0.8747356981717795,0.5,
1,2,0.040406878616144185,0.026585078909993173,0.04000000000000001,0.9970433300624904,0.9990147342156676,0.9666238767650834,0.9946236559139785,0.9602076124567474,0.9850746268656716,0.977112676056338,0.9726411196612095,0.025857680454451727,0.09945404622125323,0.9175087395402162,0.5,
1,3,0.038917594242596276,0.03120132304728031,0.06,0.9985195131608393,0.9995154292780326,0.9704749679075738,1.0,0.9602076124567474,1.0,0.9796999117387467,0.9801038062283737,0.03876106429072727,0.17146518054726906,0.9282321188877538,0.5,
1,4,0.039548055098874726,0.03535790488123894,0.08000000000000002,0.998416223381363,0.9994639669899168,0.9717586649550706,0.9982078853046595,0.9636678200692042,0.9950248756218906,0.9806338028169014,0.9793463478455473,0.029774966243565123,0.1259904564886445,0.9305251809876958,0.5,
1,5,0.040940521230554056,0.052752306014299394,0.1,0.9974005405498458,0.9991696270697629,0.9332477535301669,1.0,0.9100346020761245,1.0,0.9528985507246377,0.9550173010380623,0.052664837417399475,0.19395863595504745,0.8502893137423467,0.5,
2,1,0.037082162624510535,0.03216378919780254,0.1,0.9984635645302896,0.9994882862495029,0.9833119383825417,0.9930191972076788,0.9844290657439446,0.9800995024875622,0.9887054735013032,0.9822642841157534,0.01823183371956608,0.09181612953942607,0.956899047375396,0.5,9.960967771506667e-05
2,2,0.034030601640578605,0.031194048896431924,0.1,0.9985109056792163,0.9995110522039224,0.9845956354300385,0.9930313588850174,0.986159169550173,0.9800995024875622,0.9895833333333334,0.9831293360188675,0.016200895020347453,0.0817256961980063,0.9601132780218744,0.5,9.844486647586725e-05
2,3,0.03305240746342788,0.030979970768094063,0.1,0.9989326722787447,0.999642342605147,0.982028241335045,0.9862068965517241,0.9896193771626297,0.9601990049751243,0.9879101899827288,0.974909191068877,0.014110119972820065,0.06815295645576383,0.9529321585353789,0.5,9.652393605146846e-05
2,4,0.031621477369518175,0.037915212586522105,0.1,0.9983301485651328,0.999469187546822,0.9743260590500642,1.0,0.9653979238754326,1.0,0.9823943661971831,0.9826989619377162,0.028731567861469604,0.1139542096030917,0.9370334017114356,0.5,9.387718066217125e-05
2,5,0.030864448674077536,0.031557132452726365,0.1,0.9988422937217029,0.9996126294226846,0.9858793324775353,0.9982425307557118,0.9826989619377162,0.9950248756218906,0.990409764603313,0.9888619187798033,0.013469524622045278,0.06008771171673208,0.9640784407954881,0.5,9.054634122155992e-05
2,6,0.02943963059869996,0.029796097725629807,0.1,0.9988638124257604,0.9996261846163444,0.9845956354300385,0.9930313588850174,0.986159169550173,0.9800995024875622,0.9895833333333334,0.9831293360188675,0.012565903007754469,0.05993965121226242,0.9601132780218744,0.5,8.658394705735988e-05
2,7,0.02943025341760503,0.03108482971787453,0.1,0.9987088777565459,0.9995696172018981,0.9858793324775353,0.9896373056994818,0.9913494809688581,0.9701492537313433,0.9904926534140017,0.9807493673501007,0.0134016110790425,0.0574151102802423,0.9630667416512021,0.5,8.205248749256015e-05
2,8,0.029126767449787934,0.02859684467315674,0.1,0.9993027939885348,0.9997657455362468,0.9884467265725289,0.9930675909878682,0.9913494809688581,0.9800995024875622,0.9922077922077922,0.9857244917282102,0.011685062481302981,0.05800898273752082,0.9698807838345096,0.5,7.702342635146033e-05
2,9,0.027415547220811357,0.028281856253743173,0.1,0.9994749436209953,0.9998211438650343,0.9910141206675225,0.9948006932409013,0.9930795847750865,0.9850746268656716,0.9939393939393939,0.9890771058203791,0.009870533390990081,0.04588280305293698,0.9765751878412708,0.5,7.15760749324711e-05
2,10,0.027919505960749883,0.03007483817636967,0.1,0.9992683640620427,0.9997544113644949,0.9845956354300385,1.0,0.9792387543252595,1.0,0.9895104895104895,0.9896193771626298,0.01382621706359861,0.06110280345951254,0.9612857919473754,0.5,6.57963412215599e-05
2,11,0.026983371004462242,0.029105964973568918,0.1,0.9989843171684828,0.9996648037479339,0.9897304236200257,0.9965156794425087,0.9896193771626297,0.9900497512437811,0.9930555555555556,0.9898345642032054,0.011558566038950283,0.054276778988993295,0.9734384440426309,0.5,5.977537507199338e-05
2,12,0.027466682526860794,0.02999597817659378,0.1,0.9989584947236138,0.999658582876381,0.9845956354300385,0.9982394366197183,0.9809688581314879,0.9950248756218906,0.9895287958115183,0.9879968668766892,0.011620922528432573,0.05436824249316059,0.9609340482130052,0.5,5.360813071670102e-05
2,13,0.026508278696097596,0.03064414709806442,0.1,0.998708877756546,0.9995806241723492,0.9871630295250321,0.9982456140350877,0.9844290657439446,0.9950248756218906,0.9912891986062717,0.9897269706829176,0.012837176587497643,0.058623494208157344,0.967242554205854,0.5,4.739186928329899e-05
2,14,0.025787591064063302,0.02908381536602974,0.1,0.9991564668009433,0.9997184994803345,0.9884467265725289,0.9965095986038395,0.9878892733564014,0.9900497512437811,0.9921807124239791,0.9889695123000912,0.010247369547719126,0.045860534343894706,0.9702034256454806,0.5,4.122462492800663e-05
