stage,epoch,train_loss,val_loss,mask_weight,val_auroc,val_auprc,val_accuracy,val_precision,val_sensitivity,val_specificity,val_f1,val_balanced_accuracy,val_brier_score,val_log_loss,val_mcc,val_threshold_used,lr
1,1,0.04366301182303985,0.02636232607066631,0.020000000000000004,0.9963418203102136,0.998850492552215,0.9640564826700898,1.0,0.9515570934256056,1.0,0.975177304964539,0.9757785467128028,0.04665681075221657,0.19611946410519251,0.9138979709006697,0.5,
1,2,0.038458046088688566,0.02533905502408743,0.04000000000000001,0.9974521854395841,0.9991835737711796,0.9807445442875481,0.9947275922671354,0.9792387543252595,0.9850746268656716,0.986922406277245,0.9821566905954655,0.023211236320048498,0.10726466829602042,0.9508551446359725,0.5,
1,3,0.03635400676433623,0.027473162934184073,0.06,0.9982182513040334,0.9993900293127058,0.975609756097561,0.9964476021314387,0.9705882352941176,0.9900497512437811,0.9833479404031551,0.9803189932689493,0.02280125003079715,0.10110709997329986,0.9389460318586267,0.5,
1,4,0.03964434709590282,0.031190545931458473,0.08000000000000002,0.9975899051455526,0.9991950706107549,0.9768934531450578,0.9810996563573883,0.9878892733564014,0.945273631840796,0.9844827586206897,0.9665814525985987,0.021812704002107487,0.09708512709442318,0.9393443100593775,0.5,
1,5,0.03792536900426349,0.03212746307253837,0.1,0.9984248308629862,0.9994747254084486,0.9858793324775353,0.9947643979057592,0.986159169550173,0.9850746268656716,0.9904430929626412,0.9856168982079223,0.019360214670500163,0.09950875981686616,0.9635512365104383,0.5,
2,1,0.03500228168538017,0.0315447436273098,0.1,0.9987433076830381,0.9995773970429126,0.9807445442875481,0.9845094664371773,0.9896193771626297,0.9552238805970149,0.9870578084555651,0.9724216288798223,0.01667623421915904,0.07604236373732297,0.9495133056951902,0.5,9.960967771506667e-05
2,2,0.033001906490021375,0.031869641840457916,0.1,0.9991822892458125,0.9997259832953002,0.9845956354300385,0.9982394366197183,0.9809688581314879,0.9950248756218906,0.9895287958115183,0.9879968668766892,0.017263409202469784,0.07860674452566013,0.9609340482130052,0.5,9.844486647586725e-05
2,3,0.032256196205415866,0.030404221564531327,0.1,0.9989843171684828,0.999660707384578,0.9884467265725289,0.9930675909878682,0.9913494809688581,0.9800995024875622,0.9922077922077922,0.9857244917282102,0.015442395197608375,0.07232969198955597,0.9698807838345096,0.5,9.652393605146846e-05
2,4,0.03086254881681317,0.029690556079149246,0.1,0.9992167191723046,0.9997333262393333,0.9858793324775353,0.9982425307557118,0.9826989619377162,0.9950248756218906,0.990409764603313,0.9888619187798033,0.014033505761060144,0.06652058362105834,0.9640784407954881,0.5,9.387718066217125e-05
2,5,0.02997465626112301,0.029377546980977057,0.1,0.9991306443560743,0.9997046153084053,0.9858793324775353,0.9947643979057592,0.986159169550173,0.9850746268656716,0.9904430929626412,0.9856168982079223,0.012035850254745272,0.0559305590664139,0.9635512365104383,0.5,9.054634122155992e-05
2,6,0.029047834367430123,0.029394731968641282,0.1,0.999070391984713,0.9996876625126837,0.9845956354300385,0.9947552447552448,0.9844290657439446,0.9850746268656716,0.9895652173913043,0.9847518463048082,0.01188687604705717,0.05386646261096693,0.960347097965993,0.5,8.658394705735988e-05
2,7,0.027582844311412235,0.030172728896141053,0.1,0.9986055879770697,0.9995417433876854,0.9858793324775353,0.9896373056994818,0.9913494809688581,0.9701492537313433,0.9904926534140017,0.9807493673501007,0.012242744337209692,0.054072156883245244,0.9630667416512021,0.5,8.205248749256015e-05
2,8,0.028918499398949374,0.029270370975136756,0.1,0.9989498872419907,0.9996486896449649,0.9871630295250321,0.9947735191637631,0.9878892733564014,0.9850746268656716,0.9913194444444444,0.9864819501110365,0.0119918237692761,0.055536981346087665,0.9667758610322527,0.5,7.702342635146033e-05
2,9,0.02755007943152076,0.02792633146047592,0.1,0.9994146912496342,0.9998007844997657,0.9897304236200257,0.9965156794425087,0.9896193771626297,0.9900497512437811,0.9930555555555556,0.9898345642032054,0.00995201251321194,0.04801912732351398,0.9734384440426309,0.5,7.15760749324711e-05
2,10,0.027515024898478586,0.02866322174668312,0.1,0.9992425416171736,0.9997448331671192,0.9884467265725289,0.9982486865148862,0.986159169550173,0.9950248756218906,0.9921671018276762,0.9905920225860319,0.011050909012328178,0.05124537275628323,0.9704266259904156,0.5,6.57963412215599e-05
2,11,0.026942437188359942,0.028257259130477906,0.1,0.9992769715436657,0.9997549746298284,0.9858793324775353,0.9913344887348353,0.9896193771626297,0.9751243781094527,0.9904761904761905,0.9823718776360413,0.010263636992845028,0.0459948477123627,0.9631863798277484,0.5,5.977537507199338e-05
2,12,0.026504961746561265,0.028439686745405198,0.1,0.9992769715436658,0.9997534078060747,0.9897304236200257,0.9965156794425087,0.9896193771626297,0.9900497512437811,0.9930555555555556,0.9898345642032054,0.010192290973462801,0.04845176447100205,0.9734384440426309,0.5,5.360813071670102e-05
2,13,0.026489294888655635,0.027543733790516854,0.1,0.9993243126925924,0.9997724167921791,0.9897304236200257,0.9965156794425087,0.9896193771626297,0.9900497512437811,0.9930555555555556,0.9898345642032054,0.009311683139200161,0.04357645182250381,0.9734384440426309,0.5,4.739186928329899e-05
2,14,0.026227202429606095,0.028013348877429962,0.1,0.9992253266539276,0.9997381153273407,0.9858793324775353,0.9896373056994818,0.9913494809688581,0.9701492537313433,0.9904926534140017,0.9807493673501007,0.010265732858504375,0.0450255757700793,0.9630667416512021,0.5,4.122462492800663e-05
2,15,0.02574140976869712,0.028148464411497116,0.1,0.9991478593193204,0.9997179803497899,0.9897304236200257,0.9947916666666666,0.9913494809688581,0.9850746268656716,0.9930675909878682,0.9882120539172649,0.009468119276809798,0.04378769455159717,0.9732875786392495,0.5,3.520365877844011e-05
2,16,0.02515830640701482,0.02929631032049656,0.1,0.999018747094975,0.9996739415417697,0.9897304236200257,0.9930795847750865,0.9930795847750865,0.9800995024875622,0.9930795847750865,0.9865895436313243,0.009997553915468561,0.0427415605812987,0.9731790872626487,0.5,2.9423925067528902e-05
2,17,0.0252956810278179,0.02932888701558113,0.1,0.9992468453579852,0.9997439790171515,0.9871630295250321,0.9982456140350877,0.9844290657439446,0.9950248756218906,0.9912891986062717,0.9897269706829176,0.011306899223022188,0.04916992400313941,0.967242554205854,0.5,2.3976573648539653e-05
